Category,Description,Nutrient Data Bank Number,Carbohydrate,Cholesterol,Choline,Protein,SugarTotal,Water,MonosaturatedFat,FatPolysaturated,SaturatedFat,Fat,Vitamin
Beef and potatoes with cheese sauce,Beef and potatoes with cheese sauce,27211500,11.1,24,24.4,8.15,0.48,73.57,1.903,0.472,2.798,5.6,23
Stewed,"Stewed, seasoned, ground beef with potatoes, Mexican style",27211550,5.61,37,31.3,9.9,0.71,73.18,4.465,0.293,3.845,10.09,6
Beef and noodles,"Beef and noodles, no sauce",27212000,16.24,48,43.3,11.37,0.26,62.59,3.583,0.976,2.688,8.41,20
Beef and macaroni with cheese sauce,Beef and macaroni with cheese sauce,27212050,12.31,24,24.9,9.12,1.56,71.74,2.101,0.312,2.158,5.38,17
Beef and noodles with tomato-based sauce,Beef and noodles with tomato-based sauce,27212100,10.67,23,23.4,8.74,2.02,75.6,1.55,0.183,1.529,3.92,8
Chili con carne with beans and macaroni,Chili con carne with beans and macaroni,27212120,16.91,7,19,5.8,1.59,72.78,1.137,0.384,1.022,2.92,18
Beef goulash with noodles,Beef goulash with noodles,27212150,10.88,37,49.8,12.5,0.83,70.51,2.029,1.421,1.069,5.1,5
Beef and noodles with gravy,Beef and noodles with gravy,27212200,15.39,32,34.2,7.7,0.32,70.66,1.958,1.163,1.215,5.07,4
Beef and noodles with cream or white sauce,Beef and noodles with cream or white sauce,27212300,15.02,34,34.8,7.85,1.55,70.58,1.672,0.735,2.167,5.26,42
Beef stroganoff with noodles,Beef stroganoff with noodles,27212350,8.84,30,33.3,7.66,1.01,75.24,2.161,1.485,2.368,6.98,19
Beef and noodles with mushroom sauce,Beef and noodles with mushroom sauce,27212400,14.97,29,34.8,7.54,0.8,71.15,1.678,1.605,1.252,5.13,9
Beef and noodles with soy-based sauce,Beef and noodles with soy-based sauce,27212500,7.64,35,48.8,13.18,0.86,67.96,4.205,2.818,2.237,10.06,2
Beef and rice,"Beef and rice, no sauce",27213000,17.23,17,22.7,7.27,0.03,69.3,2.09,1.424,1.109,5,0
Biryani with meat,Biryani with meat,27213010,12.2,29,29.8,8.5,1.69,71.53,2.682,0.485,3.013,6.77,16
Beef and rice with tomato-based sauce,Beef and rice with tomato-based sauce,27213100,15.88,14,21.8,6.39,1.11,71.27,2.126,1.592,1.055,5.15,7
Porcupine balls with tomato-based sauce,Porcupine balls with tomato-based sauce,27213120,13.39,31,33.3,10.35,3,68.17,2.736,0.245,2.357,6.2,7
Chili con carne with beans and rice,Chili con carne with beans and rice,27213150,16.65,7,17.7,5.07,1.44,73.98,1.1,0.324,0.976,2.72,18
Beef and rice with gravy,Beef and rice with gravy,27213200,15.98,15,20.1,6.28,0.12,71.46,2.12,1.374,1.141,5.12,0
Beef and rice with cream sauce,Beef and rice with cream sauce,27213300,15.89,19,22.4,6.69,1.33,70.98,1.774,0.872,2.056,5.17,38
Beef and rice with mushroom sauce,Beef and rice with mushroom sauce,27213400,15.54,13,21.8,6.25,0.59,71.87,1.843,1.774,1.182,5.17,6
Porcupine balls with mushroom sauce,Porcupine balls with mushroom sauce,27213420,10.71,31,32.8,10.33,0.5,69.39,3.085,1.118,2.632,7.76,2
Beef and rice with soy-based sauce,Beef and rice with soy-based sauce,27213500,8.05,36,49.8,13.57,0.88,66.88,4.299,2.884,2.292,10.27,3
Beef and rice with cheese sauce,Beef and rice with cheese sauce,27213600,14.64,24,20.6,8.07,0.16,70.82,2.117,0.235,2.263,5.36,15
Meat loaf made with beef,Meat loaf made with beef,27214100,7.19,74,67,17.49,1.85,62.79,4.568,0.609,3.952,10.69,12
Meat loaf made with beef,"Meat loaf made with beef, with tomato-based sauce",27214110,6.76,57,53.5,13.79,2.24,69.26,3.541,0.498,3.064,8.33,15
Beef wellington,Beef wellington,27214300,10.1,83,78.6,19.1,0.12,42.25,11.503,2.968,9.552,27.37,15
Corned beef patty,Corned beef patty,27214500,9.27,32,15.6,8.73,0.34,70.32,5.26,0.3,4.32,10.24,0
Stuffed pot roast,"Stuffed pot roast, with potatoes, Puerto Rican style",27218110,7.77,75,93.1,24.4,0.67,39.36,10.458,2.991,7.885,23.56,0
Beef stew with potatoes,"Beef stew with potatoes, Puerto Rican style",27218210,6.56,42,56.8,14.57,0.93,60.79,7,2.306,4.188,14.85,5
Stewed corned beef,"Stewed corned beef, Puerto Rican style",27218310,10.32,39,44,13.43,0.86,64.06,5.728,0.792,3.518,11.15,3
Meat loaf made with ham,Meat loaf made with ham,27220010,6.13,90,89.6,20.67,1.69,62.89,2.846,1.765,2.25,7.47,24
Ham and noodles with cream or white sauce,Ham and noodles with cream or white sauce,27220020,15.32,30,31.3,6.8,1.58,70.83,1.796,0.906,2.166,5.37,43
Ham and rice with mushroom sauce,Ham and rice with mushroom sauce,27220030,16.28,9,18.6,5.37,0.62,71.4,1.917,1.911,1.162,5.18,6
Ham or pork with stuffing,Ham or pork with stuffing,27220050,10.43,13,19.3,6.26,1.13,73.89,3.911,2.093,1.866,8.27,63
Ham croquette,Ham croquette,27220080,2.58,84,92.5,17.98,0.51,55.59,7.5,8.176,4.535,20.7,18
Pork and rice with tomato-based sauce,Pork and rice with tomato-based sauce,27220110,16.78,13,20.1,6.42,1.17,70.46,2.1,1.524,1.057,5,7
Sausage and rice with tomato-based sauce,Sausage and rice with tomato-based sauce,27220120,16.4,13,13.8,4.63,1.3,71.19,2.278,1.294,1.56,5.49,11
Sausage and rice with mushroom sauce,Sausage and rice with mushroom sauce,27220150,16.8,14,15.1,4.86,0.8,70.66,2.181,1.68,1.766,6.01,11
Sausage and rice with cheese sauce,Sausage and rice with cheese sauce,27220170,13.94,21,10.4,6.32,0.22,70.57,2.794,1.07,3.298,7.61,25
Sausage and noodles with cream or white sauce,Sausage and noodles with cream or white sauce,27220190,14.83,32,26.1,5.9,1.66,70.06,2.73,1.395,2.884,7.73,45
Ham and noodles,"Ham and noodles, no sauce",27220210,15.88,29,33,7.15,0.25,69.88,2.264,1.655,1.2,5.54,4
Ham or pork and rice,"Ham or pork and rice, no sauce",27220310,16.8,14,18.9,6.73,0.03,70.32,2.124,1.459,1.098,4.99,0
Ham or pork and potatoes with gravy,Ham or pork and potatoes with gravy,27220510,11.68,14,22.7,5.4,0.54,75.34,2.653,1.92,1.288,6.33,1
Ham or pork and potatoes with cheese sauce,Ham or pork and potatoes with cheese sauce,27220520,11.11,22,21.8,7.86,0.48,73.81,1.973,0.529,2.812,5.69,24
Stewed pig's feet,"Stewed pig's feet, Puerto Rican style",27221100,4.13,44,37.5,9.99,0.75,75.81,4.077,1.42,2.269,8.7,59
Stuffed pork roast,"Stuffed pork roast, Puerto Rican style",27221110,1.92,59,78.3,18.75,0.94,69.72,4.012,1.479,2.25,8.11,6
Pork stew,"Pork stew, with potatoes, tomato-based sauce, Mexican style",27221150,5.06,38,33,13.08,1.11,76.38,1.552,0.628,1.211,3.84,4
Lamb or mutton loaf,Lamb or mutton loaf,27230010,7.42,79,62.4,13.1,4.7,66.46,4.383,1.048,4.614,11.04,33
Lamb or mutton and potatoes with gravy,Lamb or mutton and potatoes with gravy,27231000,12.53,17,23.5,5.13,0.58,74.58,2.669,1.29,1.948,6.46,0
Lamb or mutton and potatoes with tomato-based sauce,Lamb or mutton and potatoes with tomato-based sauce,27232000,12.48,16,25.4,5.26,1.63,74.55,2.566,1.414,1.82,6.22,7
Lamb or mutton and noodles with gravy,Lamb or mutton and noodles with gravy,27233000,15.63,34,30.9,6.8,0.32,70.89,2.12,0.689,1.904,5.48,4
Meat loaf made with venison/deer,Meat loaf made with venison/deer,27235000,6.3,84,78.3,19.03,1.6,66.95,1.377,0.603,3.022,6.68,17
Veal and noodles with cream or white sauce,Veal and noodles with cream or white sauce,27235750,14.48,39,37,8.34,1.49,70.09,1.798,1.112,2.093,5.64,41
Venison or deer and noodles with cream or white sauce,Venison or deer and noodles with cream or white sauce,27236000,14.48,36,36,8.36,1.49,70.7,1.591,1.082,2.051,5.3,41
Chicken or turkey hash,Chicken or turkey hash,27241000,8.16,30,25.3,9.64,0.94,76.8,1.585,1.531,0.751,4.1,8
Chicken or turkey and potatoes with gravy,Chicken or turkey and potatoes with gravy,27241010,8.9,26,20.6,7.26,0.51,76.02,2.627,2.21,1.04,6.31,2
Chicken or turkey and noodles,"Chicken or turkey and noodles, no sauce",27242000,15.47,39,28,7.73,0.25,69.44,2.401,2.032,1.053,6.14,5
Chicken or turkey and noodles with gravy,Chicken or turkey and noodles with gravy,27242200,15.23,35,25.7,6.99,0.31,70.92,2.206,1.686,1.054,5.67,5
Chicken or turkey and noodles with mushroom sauce,Chicken or turkey and noodles with mushroom sauce,27242250,14.87,32,27.1,6.92,0.8,71.59,1.809,1.982,1.074,5.44,11
Chicken or turkey and noodles with cream or white sauce,Chicken or turkey and noodles with cream or white sauce,27242300,15.23,38,27.8,7.38,1.57,70.62,1.735,1.035,1.992,5.44,44
Chicken or turkey and noodles with cheese sauce,Chicken or turkey and noodles with cheese sauce,27242310,13.56,41,23.2,8.95,0.24,69.88,2.018,0.797,2.724,6.16,28
Chicken or turkey tetrazzini,Chicken or turkey tetrazzini,27242350,6.96,37,26.3,11.96,0.23,75.3,1.363,0.98,1.85,4.76,20
Chicken or turkey and noodles with tomato-based sauce,Chicken or turkey and noodles with tomato-based sauce,27242400,15.17,34,27.6,7.12,1.36,70.91,2.105,1.808,0.93,5.44,12
Chicken or turkey and noodles with soy-based sauce,Chicken or turkey and noodles with soy-based sauce,27242500,7.69,44,28.9,11.6,0.92,70.5,3.755,3.04,1.509,9.02,6
Chicken or turkey and rice,"Chicken or turkey and rice, no sauce",27243000,16.97,20,13.3,6.46,0.03,69.56,2.434,2.076,0.95,5.84,2
Biryani with chicken,Biryani with chicken,27243100,13.57,25,20.2,7.15,1.87,75.91,0.81,0.259,0.956,2.36,19
Chicken or turkey and rice with cream sauce,Chicken or turkey and rice with cream sauce,27243300,12.78,27,23.3,8.12,1.98,71.98,2.524,1.368,1.424,5.8,59
Chicken or turkey and rice with mushroom sauce,Chicken or turkey and rice with mushroom sauce,27243400,15.44,16,14.6,5.67,0.59,72.26,1.965,2.129,1.014,5.47,7
Chicken or turkey and rice with tomato-based sauce,Chicken or turkey and rice with tomato-based sauce,27243500,15.66,17,14,5.72,1.09,71.14,2.554,2.271,0.97,6.18,8
Chicken or turkey and rice with soy-based sauce,Chicken or turkey and rice with soy-based sauce,27243600,8.11,45,29.5,11.96,0.94,69.47,3.84,3.11,1.549,9.22,6
Chicken or turkey with dumplings,Chicken or turkey with dumplings,27246100,7.95,61,37.9,15.64,0.45,69.39,2.242,1.057,1.415,5.49,10
Chicken or turkey with stuffing,Chicken or turkey with stuffing,27246200,11.74,77,47.7,20.04,1.27,61.95,2.083,0.752,1.212,4.88,6
Chicken or turkey cake,"Chicken or turkey cake, patty, or croquette",27246300,2.56,121,76.2,20.85,0.51,56.29,6.232,7.801,3.414,18.7,23
Chicken or turkey souffle,Chicken or turkey souffle,27246400,5.5,146,86.4,11.74,2.24,70.22,3.388,1.009,5.568,11.04,121
Meat loaf made with chicken or turkey,Meat loaf made with chicken or turkey,27246500,8.06,81,53.4,18.78,2.13,64.46,2.378,2.074,1.908,7.24,31
Meat loaf made with chicken or turkey,"Meat loaf made with chicken or turkey, with tomato-based sauce",27246505,7.29,65,45.2,15.47,2.42,69.54,1.983,1.71,1.683,6.16,37
Clams,"Clams, stuffed",27250020,12.94,20,49.8,11.87,1.57,61.35,4.943,3.32,2.107,11.08,154
Codfish ball or cake,Codfish ball or cake,27250030,10.57,61,69.5,14.32,1.01,63.76,3.489,3.128,2.575,9.85,46
Crab cake,Crab cake,27250040,2.58,111,87,14.57,0.51,66.39,4.408,7.345,2.441,14.75,18
Fish cake or patty,"Fish cake or patty, NS as to fish",27250050,10.31,59,68.5,13.93,0.99,61.42,4.785,3.26,4.031,13.06,45
Gefilte fish,Gefilte fish,27250060,1.03,64,72.1,17.52,0.27,75.68,1.344,1.165,0.707,3.8,25
Salmon cake or patty,Salmon cake or patty,27250070,2.58,69,90,17.12,0.51,60,5.69,8.247,3.361,18.16,30
Salmon loaf,Salmon loaf,27250080,9.11,103,100.4,15.82,2.16,62.84,3.646,2.756,2.279,9.91,99
Scallops and noodles with cheese sauce,Scallops and noodles with cheese sauce,27250110,15.05,32,31,8.46,0.26,69.26,1.725,0.729,2.655,5.64,28
Shrimp and noodles,"Shrimp and noodles, no sauce",27250120,16.43,59,42.6,7.3,0.26,69.65,2.054,2.053,0.896,5.5,21
Shrimp and noodles with gravy,Shrimp and noodles with gravy,27250122,14.7,49,35,6.02,0.3,73.03,1.949,1.758,0.908,5.18,17
Shrimp and noodles with mushroom sauce,Shrimp and noodles with mushroom sauce,27250124,15.05,46,37.2,6.31,0.79,72.19,1.664,2.128,0.982,5.23,23
Shrimp and noodles with cream or white sauce,Shrimp and noodles with cream or white sauce,27250126,16.25,55,40.1,7.13,1.65,70.15,1.566,1.141,1.964,5.25,59
Shrimp and noodles with soy-based sauce,Shrimp and noodles with soy-based sauce,27250128,8.26,82,56.8,10.21,0.87,72.46,2.848,2.931,1.112,7.25,38
Shrimp and noodles with cheese sauce,Shrimp and noodles with cheese sauce,27250130,13.45,54,32.3,8.18,0.24,71.65,1.643,0.729,2.511,5.37,38
Shrimp and noodles with tomato sauce,Shrimp and noodles with tomato sauce,27250132,15.39,49,38.6,6.46,1.36,71.66,1.949,1.969,0.832,5.22,25
Tuna loaf,Tuna loaf,27250150,9.32,84,68,21.08,2.21,55.32,4.683,3.612,2.69,11.86,104
Tuna cake or patty,Tuna cake or patty,27250160,2.63,67,50,15.34,0.51,65.74,4.393,7.335,2.454,14.88,28
Clam cake or patty,Clam cake or patty,27250210,6.77,77,105.5,19.04,0.51,55.75,4.446,7.362,2.509,15.31,118
Oyster fritter,Oyster fritter,27250220,5.22,82,88.8,6.93,0.39,69.57,4.547,7.809,2.793,16.22,80
Flounder with crab stuffing,Flounder with crab stuffing,27250250,5.72,71,80.4,15.08,0.86,71.66,2.126,1.523,1.203,5.49,49
Lobster with bread stuffing,"Lobster with bread stuffing, baked",27250260,9.83,118,60,14.98,1.17,64.61,2.095,0.855,4.657,8.16,59
Clams Casino,Clams Casino,27250270,9.83,16,35.1,8.73,2.05,74.84,1.955,1.276,1.083,4.72,69
Mackerel cake or patty,Mackerel cake or patty,27250300,10.76,81,78,16.54,1.03,53.34,6.537,4.427,5.403,17.63,108
Haddock cake or patty,Haddock cake or patty,27250310,10.31,59,68.5,13.93,0.99,61.42,4.785,3.26,4.031,13.06,45
Shrimp cake or patty,Shrimp cake or patty,27250400,3.67,193,126.2,18.1,0.51,60.62,4.578,7.589,2.672,15.45,82
Shrimp with crab stuffing,Shrimp with crab stuffing,27250410,6.09,141,101.7,16.39,0.35,66.25,3.582,2.525,2.178,8.94,65
Shrimp toast,"Shrimp toast, fried",27250450,11.73,57,41.2,8.45,1.39,62.02,6.251,6.365,2.216,15.48,31
Seafood restructured,Seafood restructured,27250520,15,20,13,7.62,6.25,74.66,0.275,0.143,0.216,0.46,0
Seafood souffle,Seafood souffle,27250550,5.49,149,85.4,9.91,2.23,73.17,2.759,0.876,5.225,9.73,121
Tuna noodle casserole with cream or white sauce,Tuna noodle casserole with cream or white sauce,27250610,15.4,36,26,10.12,2.14,66.05,1.894,0.972,3.531,7.18,76
Tuna noodle casserole with mushroom sauce,Tuna noodle casserole with mushroom sauce,27250630,13.92,27,22.9,9.02,1.13,70.64,1.228,1.283,2.044,5.13,33
Tuna and rice with mushroom sauce,Tuna and rice with mushroom sauce,27250710,15.39,6,9.4,4.57,0.59,73.78,1.792,2.218,0.885,5.16,8
Fish and rice with tomato-based sauce,Fish and rice with tomato-based sauce,27250810,16.53,9,17.5,5.41,1.15,71.68,2.067,2.078,0.729,5.12,9
Fish and rice with cream sauce,Fish and rice with cream sauce,27250820,15.75,14,17.6,5.53,1.32,72.6,1.629,1.239,1.71,4.92,40
Fish and rice with mushroom sauce,Fish and rice with mushroom sauce,27250830,16.12,9,17.8,5.34,0.62,72.28,1.778,2.229,0.887,5.15,8
Fish and noodles with mushroom sauce,Fish and noodles with mushroom sauce,27250900,14.79,23,29.5,6.3,0.79,72.66,1.625,2.079,0.928,5.1,11
Shellfish and noodles with tomato-based sauce,Shellfish and noodles with tomato-based sauce,27250950,15.74,36,36.4,6.58,1.36,71.15,1.869,1.881,0.793,5.04,29
Stewed salmon,"Stewed salmon, Puerto Rican style",27251010,8.47,31,56,12.02,1.27,70.61,2.669,2.294,1.066,7.02,12
Meat loaf,"Meat loaf, NS as to type of meat",27260010,7.19,75,66.7,17.5,1.82,62.48,4.631,0.619,4.12,10.98,21
Meatballs,"Meatballs, with breading, NS as to type of meat, with gravy",27260050,6.28,47,43.3,12.22,1.22,72.26,3.185,0.406,2.879,7.5,8
Meat loaf made with beef and pork,Meat loaf made with beef and pork,27260080,7.17,75,67,17.28,1.82,63.35,4.424,0.728,3.87,10.44,21
Meat loaf made with beef,"Meat loaf made with beef, veal and pork",27260090,7.17,75,67.1,17.28,1.82,63.35,4.424,0.728,3.87,10.44,21
Meat loaf made with beef and pork,"Meat loaf made with beef and pork, with tomato-based sauce",27260100,6.75,58,54.1,13.64,2.21,69.69,3.431,0.591,3.002,8.14,21
Hash,"Hash, NS as to type of meat",27260110,9.27,32,15.6,8.73,0.34,70.32,5.26,0.3,4.32,10.24,0
Vienna sausages stewed with potatoes,"Vienna sausages stewed with potatoes, Puerto Rican style",27260500,13.07,28,23.3,5.08,1.31,63.37,7.89,3.871,3.811,16.36,5
Liver dumpling,Liver dumpling,27260510,12.78,335,329.4,23.11,0.91,45.43,6.207,4.247,4.484,15.48,6255
Breaded brains,"Breaded brains, Puerto Rican style",27261000,17.35,1691,284.9,10.14,1.92,55.96,3.452,5.017,3.104,14.72,23
Stewed,"Stewed, seasoned, ground beef and pork with potatoes, Mexican style",27261500,4.19,43,35.2,12.84,0.49,73.72,3.512,0.354,2.96,8.03,4
Beef,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",27311110,13.46,16,31.6,6.93,1.19,72.98,2.11,1.534,1.105,5.15,107
Beef,"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",27311120,14.97,16,32.9,6.97,1.12,71.53,2.106,1.512,1.098,5.1,4
Corned beef,"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",27311210,13.73,18,23.5,4.76,1.21,74.1,2.684,1.188,1.509,6,108
Corned beef,"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",27311220,15.35,18,24.9,4.84,1.14,73.07,2.442,0.922,1.429,5.38,4
Beef stew with potatoes and vegetables including carrots,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27311310,8.24,14,20.3,5.23,1.58,81.27,1.767,0.363,1.436,3.98,41
Beef stew with potatoes and vegetables excluding carrots,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",27311320,8.48,16,27.2,6.64,1.01,81.43,0.947,0.527,0.621,2.36,5
Beef stew with potatoes and vegetables including carrots,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",27311410,8.58,15,25.8,6.22,1.22,81.93,0.881,0.494,0.579,2.21,75
Beef stew with potatoes and vegetables excluding carrots,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",27311420,8.46,16,27.5,6.77,0.84,81.28,0.972,0.534,0.636,2.41,3
Shepherd's pie with beef,Shepherd's pie with beef,27311510,14.1,12,26.5,6.35,1.32,75.18,1.385,0.662,0.843,3.15,25
Beef,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",27311600,11.17,13,24,5.23,0.94,75.15,2.945,2.346,1.343,7.16,78
Beef,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",27311605,12.36,13,25.1,5.3,0.9,74.69,2.618,2.006,1.235,6.34,3
Beef,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",27311610,11.13,12,25.2,5.28,1.29,75.22,2.647,2.62,1.365,7.05,77
Beef,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",27311620,12.2,12,26.1,5.33,1.25,74.52,2.502,2.464,1.315,6.68,8
Beef,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27311625,11.13,12,25.5,5.33,1.78,75.1,2.861,2.441,1.243,6.96,83
Beef,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",27311630,12.28,12,26.6,5.39,1.74,74.34,2.706,2.273,1.189,6.56,8
Beef,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",27311635,11.82,23,25.6,8.14,0.96,73,1.825,0.487,2.689,5.43,104
Beef,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",27311640,12.97,23,26.6,8.17,0.91,71.84,1.839,0.488,2.69,5.43,25
Beef,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",27311645,6.08,31,46.6,11.77,1.37,72.1,3.678,2.487,1.971,8.83,93
Beef,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",27311650,5.86,31,46.4,11.69,1.46,72.45,3.669,2.488,1.961,8.81,6
Beef,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",27313010,16.71,34,39.5,8.71,0.91,68.02,1.979,1.362,1.189,5.19,112
Beef,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",27313020,18.29,34,40.9,8.78,0.84,66.73,1.879,1.243,1.153,4.91,7
Beef chow mein or chop suey with noodles,Beef chow mein or chop suey with noodles,27313110,11.17,22,33.5,10.78,1.55,71.85,1.891,1.066,1.481,4.89,9
Beef,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",27313150,7.72,26,40.2,10.34,1.33,73.27,3.147,2.133,1.692,7.59,119
Beef,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",27313160,7.49,26,39.8,10.32,1.43,73.52,3.172,2.155,1.697,7.64,8
Beef,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27313210,13.74,25,31.8,6.74,1.62,73.07,1.954,1.512,1.046,5.06,88
Beef,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",27313220,14.86,25,32.7,6.77,1.56,71.95,1.969,1.513,1.046,5.07,11
Beef,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",27313310,13.58,24,31.1,6.6,1.13,73.53,1.699,1.662,1.154,5.05,82
Beef,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",27313320,14.63,24,32,6.63,1.08,72.5,1.695,1.646,1.149,5.01,10
Beef,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",27313410,13.81,26,30.3,6.65,0.75,73.28,1.949,1.321,1.121,5.04,83
Beef,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",27313420,14.94,26,31.3,6.68,0.7,72.14,1.963,1.322,1.121,5.05,6
Beef,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",27315010,18.38,16,25.1,7.54,0.69,67.9,1.995,1.387,1.083,4.86,107
Beef,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",27315020,20,16,26.6,7.62,0.62,66.76,1.774,1.149,1.007,4.29,4
Beef,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27315210,14.9,12,21.1,5.85,1.45,72.5,2.212,1.774,1.046,5.4,84
Beef,"Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27315220,16.08,12,22.1,5.91,1.4,71.72,2.051,1.601,0.991,4.99,9
Stuffed cabbage rolls with beef and rice,Stuffed cabbage rolls with beef and rice,27315250,8.63,38,37.1,8.41,3.45,76.51,2.169,0.255,1.874,5,18
Stuffed grape leaves with beef and rice,Stuffed grape leaves with beef and rice,27315270,11.32,23,22.7,7.83,2.48,60.69,10.901,1.989,3.991,18.37,337
Beef,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",27315310,14.69,12,21.1,5.78,0.98,73.09,1.876,1.84,1.132,5.21,79
Beef,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",27315320,15.73,12,22,5.81,0.93,72.06,1.889,1.841,1.132,5.22,8
Beef,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",27315330,15.54,23,20.6,8.58,0.58,68.89,1.864,0.502,2.713,5.51,104
Beef,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",27315340,15.85,22,20.5,8.18,0.5,69.32,1.784,0.478,2.576,5.24,24
Beef,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",27315410,15.01,13,19.6,5.77,0.59,72.85,2.12,1.499,1.092,5.18,80
Beef,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",27315420,16.13,13,20.5,5.8,0.54,71.71,2.134,1.5,1.092,5.18,3
Beef,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",27315510,8.03,27,40.8,10.59,1.36,72.54,3.202,2.172,1.724,7.71,121
Beef,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",27315520,7.8,27,41.3,10.79,1.42,72.37,3.309,2.248,1.772,7.96,7
Beef pot pie,Beef pot pie,27317010,17.09,16,24.8,7.99,0.9,59.68,5.778,3.277,3.468,13.5,86
Beef,"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",27317100,11.59,14,21.6,6.09,1.12,74.57,2.514,1.748,1.453,6.29,86
Beef,"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",27317110,12.75,14,22.6,6.13,1.07,73.61,2.441,1.661,1.426,6.09,9
Stuffed green pepper,"Stuffed green pepper, Puerto Rican style",27319010,15.56,23,24.9,8.63,3.48,66.08,2.942,0.559,2.608,7.23,17
Ham pot pie,Ham pot pie,27320020,18.48,12,26.8,7.99,1.13,57.34,5.804,3.822,3.633,14.16,48
Ham or pork,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",27320025,18.31,32,37.6,8.42,0.84,67.05,1.917,1.266,1.155,4.91,8
Ham or pork,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",27320027,16.74,32,36.3,8.35,0.91,68.4,2.019,1.386,1.192,5.19,112
Ham or pork,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",27320030,15.32,35,29.8,9.18,0.69,67.61,2.17,0.774,2.882,6.42,28
Pork,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",27320040,13.44,14,28.3,6.55,1.19,73.1,2.267,1.675,1.144,5.43,107
Ham or pork,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27320070,13.75,24,29.4,6.48,1.62,73.36,1.965,1.511,1.041,5.02,88
Sausage,"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",27320080,15.34,25,26,5.26,1.74,72.13,2.238,1.385,1.535,5.69,15
